title,lead author,year,publication type,genetics,genomic,evolution,sex differences,dosage (test),mechanism,cell stuff,issue,development,epigenetics,methods,treatment,race,unsure,irrelevant,notes etc
Monoallelic expression of MAO-A in skin fibroblasts,nordquist,2007,,,,,,,,,,,,,,,,,duplicate i think
Putative transcription activator with alternative isoforms encoded by human ZFX gene,Schneider-Gadicke,1989,analysis,ZFY/ZFX,,,,,exci,,,embryo development,,analysis of complementary DNAs from mouse chrY homolgues,,,,,
DUSP9 Modulates DNA Hypomethylation in Female Mouse Pluripotent Stem Cells,choi,2017,experiment,DUSP93,,,x,DUSP9 upregulation,,blastocyst-derived embryonic stem cells and gonad -derived embryonic germ cells (pluripotent cell lines),,,methylation patterns,comparison of genome-wide methylation patterns between isogenic ESC and EGC lines; cell fusion experiments?,,,,,
"Role of the chromosome architectural factor SMCHD1 in X-chromosome inactivation, gene regulation, and disease in humans",wang,2019,analysis,SMCHD1,,,"interestingly, they're noting no sex differences despite xci",dosage imbalance,xci; homozygous nonsense mutations,,"congenital arhinia, facioscapulohumeral muscular dystrophy type 2",,,analysis of transcriptomic data from arinhia and FSHD2 patient blood and muscle cells,,,,,
Sex-specific parent-of-origin allelic expression in the mouse brain,gregg,2010,study,interleukin-8,x,,,preferential gene expression,,,,,,genome wide analysis; mice?,,,,,
Dohi Memorial Lecture. New aspects of cutaneous mosaicism,happle,2002,,,,,,,cutaneous mosaicism,,,,,,,,x,,
X-inactivation of HSD17B10 revealed by cDNA analysis in two female patients with 17Β-hydroxysteroid dehydrogenase 10 deficiency,garcia-villoria,2010,study,HSD17B10,,,,,exci... or does it,,,,,cDNA analyses; two female patients,,,,,
Molecular analysis of the Imatinib-induced complete cytogenetic response in chronic myelogenous leukemia,miglino,2006,study,BCR/ABL,,,,,clonal and normal haematopoiesis; xci,,chronic myelogenous leukemia ,,,"""Thirteen female patients who reached complete cytogenetic response (CCR) after Imatinib treatment were studied""",imatinib ,,,,
Single-cell analyses of X Chromosome inactivation dynamics and pluripotency during differentiation,chen,2016,experiment,,,,,,"pluripotency, differentiation, xci",plurinetwork and focal adhesion,,embryonic development,,mouse embryonic stem cells and single-cell RNAseq with allelic resolution,,,,,come back to this
"Neural tube defects, sex ratios, and X inactivation",hall,1986,review,,,,x?,,xci,,neural tube defects,embryonic development,,case review of 529 cases of neural tube defects,,,,,
XIST expression from the maternal X chromosome in human male preimplantation embryos at the blastocyst stage,ray,1997,experiment,,,,,dosage compensation in x-lnked genes,"xci, xist initiation",,,"early mouse development, human preimplantation embryos",,,,,,,
Sex differences in cardiovascular repair,taylor,2013,review ,,,,x,,"aging, menopause",,,,,,cardiovascular outcomes,,,,
No major role for X-inactivation in variations of intelligence and behavioral problems at middle childhood,peerbooms,2010,study,,,,,,xci,,"intelligence, child behvioral problems",,,,,,,,interesting...
"X-Inactivation, Imprinting, and Long Noncoding RNAs in Health and Disease",lee,2013,review,,,,,,"xci, genomic imprinting",,,,,,,,,,
The Rhox Homeobox Gene Cluster Is Imprinted and Selectively Targeted for Regulation by Histone H1 and DNA Methylation,maclean,2011,,"x-linked rhox gene homeobox gene cluster, rhox5",,,,,,H1-mediated regulation i embryonic stem cells,,x,demethylation,,,,,,
Sex Chromosome Effects Unmasked in Angiotensin II-Induced Hypertension,ji,2010,experiment,,,,x,,"gonadal sex, potentially impacted by sex chromosome complement; x mosaicism; hormone antics",,"mean arterial pressure, hypertension",,,mouse model,,,,,
Human cis-acting elements regulating escape from X-chromosome inactivation function in mouse,peeters,2018,experiment,,,,,,"xci, exci",,,,,new model proposal? with mice,,,x,,
A proposed explanation for female predominance in alveolar soft part sarcoma. Noninactivation of X; autosome translocation fusion gene?,bu ,2005,study,i think? fusion gene,,,x,,x-autosomal translocation,,alveolar soft-part sarcoma,,,SEER data analysis,,,,,
Reactivation of inactive X chromosome: a potential culprit and therapeutic target for systemic lupus erythematosus,pan,2008,,,,,,,,,,,,,,,,,"no abstract, no fulltext because we don't subscribe. potentially available on my end through penn?"
"Solving the ""X"" in embryos and stem cells",bermejo-alvarez,2012,review,,,,,,xci,,,,,,,,i think this is a mammal comparison but i'm not sure,,
A case of mixed gonadal dysgenesis with structural abnormalities of X chromosome (Xp+),watanabe,1985,case study,,,,,,extra band on short arm of chrX,,mixed gonadal dysgenesis,,,,,,,,
The Effects of CpG Densities around Transcription Start Sites on Sex-Biased Gene Expression in Poecilia reticulata,tamagawa,2017,study,,,,x,,"CpG densitites around transcription start sites, gene level expression",,,,dna methylation,,,,,,
Woman with x-linked recessive dystonia-parkinsonism: clue to the epidemiology of parkinsonism in Filipino women?,domingo,2014,study,,,,x,,skewed xci,,"x-linked dystonia-parkinsonism, lubag disease",,,,,not race but study focused in flilipino women,,,
X-linked diseases: susceptible females,migeon,2020,review,,,,x,,xci,,,,,,,,,,
Up-Regulation of the Long Noncoding RNA X-Inactive–Specific Transcript and the Sex Bias in Pulmonary Arterial Hypertension,qin,2021,,,,,x,,xist upregulation,endothelial cell sexual dimorphic behavior,pulmonary arterial hypertension,,,mice model,,,,,
Epigenetic mechanisms regulate sex-specific bias in disease manifestations,chlamydas,2022,review,,,,x,,,,,,,""" we explore the input of genetic and epigenetic interplay in the sex bias underlying disease manifestation and discuss their effects along with sex hormones on disease development and progression, aiming to reveal potential new therapeutic targets.""",,,,,
"Sex-specific viability, sex linkage and dominance in genomic imprinting",van cleve,2007,,,,,,,genomic imprinting,,,,,locus-evolutionary models,,,x,,
"Associations between infant sex and DNA methylation across umbilical cord blood, artery, and placenta samples",bozack,2022,study,,,,x,,,placental foetal tissue,,,dna methylation,replication analyses of independent cohort,,,,,
Convergently recruited nuclear transport retrogenes are male biased in expression and evolving under positive selection in drosophila,tracy,2010,experiment,"x-linked nuclear transport genes (ntf-2 and ran), retrogenes",,x,,,gene duplications by retroposition,,,,,drosophila,,,x,x,
Neuronal size in the spinal nucleus of the bulbocavernosus: Direct modulation by androgen in rats with mosaic androgen insensitivity,watson,2001,experiment,,,,,,,motoneurons of the spinal nucleus of the bulbocavernosus,,,,"""We exploited the X-chromosome residency of the androgen receptor (AR) gene to generate androgenized female rats that were heterozygous for the testicular feminization mutant (tfm) AR mutation and that, as a consequence of ontogenetic random X-inactivation, expressed a blend of androgen-sensitive wild-type cells and tfm-affected androgen-insensitive cells in the SNB",,,x,,
Sexual dimorphism in autoimmune disease,mccombe,2009,review,,,,x,,,,autoimmune disease,,,,,,,,
Glucose-6-phosphate dehydrogenase deficiency and malaria: Cytochemical detection of heterozygous G6PD deficiency in women,peters,2009,review,,,,x,,,,glucose-6-phosphate-dehydrogenase deficiency,,,proposal for method of diagnosis,,,,,
Separate effects of sex hormones and sex chromosomes on brain structure and function revealed by high-resolution magnetic resonance imaging and spatial navigation assessment of the Four Core Genotype mouse model,corre,2016,study,,,,x,,sex hormones and chromosomes,,"brain structure and function, brain",,,"four core genotype mice, high resolution ex vivo MRI",,,,,
Dyskeratosis Congenita (DC) Registry: identification of new features of DC,knight,1998,,"DKC1, Xq28",,,,,"x-linked, skewed x-inactivation patterns",,dyskeratosis congenita,,,,,,,,
Meta-analysis of human methylation data for evidence of sex-specific autosomal patterns,mccarthy,2014,meta-analysis,"SLC9A2, SPESP1, CRISP2, and NUPL1",,,x (sex-specific methylation),,,,,,autosomal CpG methylation,,,,,,
The XIST Noncoding RNA Functions Independently of BRCA1 in X Inactivation,xiao,2007,experiment,BRAC1,,,,,"germline mutations, reactivation of genes on Xi through lost of XIST (potentially)",,"breast, ovarian cancer",,,,,,,,
Overall and allele-specific expression of the SMC1A gene in female Cornelia de Lange syndrome patients and healthy controls,parenti,2014,study,"SMC1A, SMC3, RAD21",,,ehhh...,,mutations in genes encoding subunits or regulators of the cohesin complex,,cornelia de lange syndrome,,,evaluated overall and allele-specific SMC1A expression; PCR analysis,,,,,
Review of gender differences in core symptomatology in autism spectrum disorders,rivet,2011,review,,,,x,,,,autism spectrum disorders,,,,,,,,
Familial cases of point mutations in the XIST promoter reveal a correlation between CTCF binding and pre-emptive choices of X chromosome inactivation,pugacheva,2005,experiment,,,,,,"familial C(-43)G mutation in Xist promoter, skewed xci",CTCF (conserved protein),,,,mice/human cell models,,,,,
Replication asynchrony and differential condensation of X chromosomes in female platypus (Ornithorhynchus anatinus),ho ,2009,study,,,,,,"massive loss of genes on the sex-specific chromosome, gene imbalance",,,,,,,,,x,mammal comparisons
Gender susceptibility to COVID-19: a review of the putative role of sex hormones and X chromosome,foresta,2021,review,"ACE2, TMPRSS2",,,x,,"xci, hormones",,COVID,,,,,,,,
Progressive cerebellar degenerative changes in the severe mental retardation syndrome caused by duplication of MECP2 and adjacent loci on Xq28,reardon,2010,case studies,"MECP2, Xq28",,,,,localized duplications,,"x-linked mental deficiency, hypotonia, recurrent infections",,,,,,,,
miR-34a-mediated regulation of XIST in female cells under inflammation,shenoda,2018,experiment,,,,x,,"dysregulation of inflammatory responses, exci?, xist regulation",miR-34a,"chronic pain, complex regional pain syndrome",,,in vitro/in vivo models ,,,,,
"Association between BRCA1 mutations and ratio of female to male births in offspring of families with breast cancer, ovarian cancer, or both",de la hoya,2003,study,BRAC1/BRAC2,,,x,,defects in xci,,"BRAC1-related human cancer syndromes, breast, ovarian",,,patient case studies,,,,,
The Resolution of Sexual Antagonism by Gene Duplication,connallon,2011,experiment,,x,x?,sexual antagonism,,disruptive selection,,,,,develop and analyze models of gene duplication and sex-specific differentiation between paralogs,,,,,
When the balance is broken: X-linked gene dosage from two X chromosomes and female-biased autoimmunity,syrett,2019,review,,,,x,,"xci, overexpression of x-linked immunity-related genes",,"innate immunity, adaptive immunity, autoimmune diseases",,,human/mouse models,,,,,
Exit from Naive Pluripotency Induces a Transient X Chromosome Inactivation-like State in Males,sousa,2018,,,,,x,,"xci, naive pluripotency, nPSC self-renewal repression expression of xist",naive pluripotent stem cell,,,,,,,,,come back to this
Methylation of the mouse hprt gene differs on the active and inactive X chromosomes,lockshin,1986,experiment,mouse hprt,,,,,xci,,,,dna methylation,"southern blots, cloned mice genes",,,,,
Imprinted X-chromosome inactivation impacts primitive endoderm differentiation in mouse blastocysts,fukuda,2020,,,,,x,,"epigenetic and transcriptome alterations, imprinted xci",,,embryos,,single-cell analysis of inner-cell mass,,,,,
The X in sex: how autoimmune diseases revolve around sex chromosomes,selmi,2008,review,,,,x,x,xci,,autoimmune disease,,,,,,,,
Extremely skewed X-chromosome inactivation is increased in women with recurrent spontaneous abortion,sangha,1999,,,,,,,,,,,,,,,,,
Clinical and molecular characterization of overlapping interstitial Xp21-p22 duplications in two unrelated individuals,thorson,2010,case study,"Xp21-p22, other genes associated with mental decline",,,,,"copy number changes on chrX, other chrX things",,,developmental delay,,development and implementation of high-density DNA arrays,,,,,
An explanation for another familial case of Rett syndrome: Maternal germline mosaicism,venancio,2007,case study,MECP2,,,,,"mutations, chrX, xci, specific type of mutation (p.Arg270fs)",,rett syndrome,,,,,,,,
Novel Y-Chromosome Long Non-Coding RNAs Expressed in Human Male CNS During Early Development,johansson,2019,analysis,,x,,,,"genome-wide differences in expression, exci",,,human embryos ,,"global microarrart gene expression analyses, combo of high-resolution RNAseq with qPCR",,,,,
Fine mapping of the distal short arm of the human X chromosome using X/Y translocations,geller,1986,experiment,MIC2X,,,,,,,STS,,,""" fibroblasts from carriers of four different X/Y translocations and an X/10 translocation were obtained and fused with mouse cell lines deficient in hypoxanthine phosphoribosyltransferase""",,,,,
"The monotreme genome: A patchwork of reptile, mammal and unique features?",grutzner,2003,review,,yes... but for the platypus,,,,,,,,,,,,,,
Why are autoimmune diseases more prevalent in women?,Ørstavik,2017,,,,,,,,,,,,,,,,,not in english
Sex Differences in Inflammatory Response and Acid-Base Balance in Prepubertal Children with Severe Sepsis,lefevre,2017,case study,,,,x,,,,"acute inflammatory conditions, sepsis",,,"""reviewed clinical signs and biological inflammatory markers of prepubertal children qith sever sepsis""",,,,,
The molecular aetiology of haemophilia A in a New Zealand patient group,laurie,2007,study,F8,,,,,"xci, F8 mutations",,haemophilia A,,,"factor eight gene analysis of cohort of 45, pcr, analysis of microsatellite markers",,,,,
"Dosage compensation, the origin and the afterlife of sex chromosomes",larsson,2006,review,,,x,,in drosophila,sex chromosome compensation,,,,,,,,,,
Higher order chromatin structure at the X-inactivation center via looping DNA,tsai,2008,study,,,,,,xci ,,,,,"""we examine the role of higher order chromatin structure across the 100-kb region of the mouse X-inactivation center (Xic) and map domains of specialized chromatin in vivo""",,,???,,
Genes known to escape X chromosome inactivation predict co-morbid chronic musculoskeletal pain and posttraumatic stress symptom development in women following trauma exposure,yu,2019,study ,"YY1, xist",,,x,,"gene transcripts originating from chrX that contribute to sex diff, xci",,"co-morbid chronic muscuoskeletal pain, posttraumatic stress syndroms",,,"nested samples from longitudinal studies of african american individuals, blood rnaseq, logistic regression analyses",,,,,
An update on oculocerebrocutaneous (Delleman-Oorthuys) syndrome,moog,2018,review,,,,x,,,,oculocerebrocutaneous syndrome,,,"based on previous review of 40 patients with OCCS, whole exome/genome sequencing",,,,,
"Gonadal dimorphism explained as a dosage effect of a locus on the sex chromosomes, the gonad-differentiation locus (GDL)",german,1988,discussion,,,,,,"xci, homologous gonad-differentiation loci",,,,,,,,,,discussion of a hypothesis i think
Parental-to-Embryo Switch of Chromosome Organization in Early Embryogenesis,collombet,2020,experiment,"H3K27me3, paternal chrX",,,,,local topological-associated domains,,,embryo antics,histone modification,"preimplantation mouse models on highly polymorphic female hybrid embryos, prev rnaseq",,,,,
MECP2 duplication syndrome in both genders,shimada,2013,study,MECP2,,,x,,"MECP2 duplication, xci",,MECP2 duplication syndrome,,,"four patient studies (phenotype, xci pattern analysis, brain MRI)",,,,,
Sex-specific chromosome instability in early human development,kovaleva,2005,study,,,,x,,"females segregating chromosome aberrations to their offspring by selection disadvantage of unbalanced products of spermatogenesis, malsegregation, mitotic-occurring chromosome abnormalities, mosaicism, female aneuploidies",,,,,compare sex ratio of carriers ,,,x,,
Structural anomalies of the X chromosome and inactivation center,mattei,1981,study,,,,,,chrX abnormalities,,,,,observational study of five special cases,,,x,,
Skewed X-chromosome inactivation in human embryos with mosaic trisomy 16,tolmacheva,2011,,,,,x,,"pure/mosaic forms of chr16 trisomy, chrX","placental tissue of human spontaneous abortuses, extraembryonic mesoderm",,,,,,,x,,
"Tsix, a gene antisense to Xist at the X-inactivation centre",lee,1999,,tsix,,,,,"xci, antisense gene",,,,,,,,x,,
X-inactivation profile reveals extensive variability in X-linked gene expression in females,carrel,2005,review,,chrX,sort of ,x,,xci,,,,,comprehensive xci profile,,,,,
Skewed X-chromosome inactivation is associated with trisomy in women ascertained on the basis of recurrent spontaneous abortion or chromosomally abnormal pregnancies,beever,2003,study,,,,,,"xci (extremely skewed), trisomy",,recurrent spontaneous abortion,,,evaluation of 207 women who experienced RSA with skewed xci vs without,,,,,
The role of X-chromosome inactivation in female predisposition to autoimmunity,chitnis,2000,study,,,,,,"xci, inadequate thymic deletion",,"loss of t-cell tolerance, autoimmune disease",,,dna methylation assay to examine sci paterns in peripheral blood ,,,,,
HGPRT mutation induction by N-ethyl-N-nitrosourea as measured by 6-thioguanine resistance is higher in male than in female syrian hamster fetuses,donovan,2006,experiment,HGPRT,,,x,,"xci, mutations in HGPRT, resistance to 6-TG",embryonic and fetal cells,,x,,"""We tested this supposition by in utero exposure of Syrian hamster fetuses to N-ethyl-N-nitrosourea (ENU) at day 12 of gestation""",,,,,
Analysis of the relationship between sex and chromosomal aberrations in colorectal cancer by comparative genomic hybridization,unotoro,2006,study,"five chromosomal regions (7p, 8p, 8q, Xp, Xq)",,,x,,"DNA gains and losses, xci",,corectal cancer,,,,,,,,
Evolution of mammalian X-chromosome inactivation: sex chromatin in monotremes and marsupials,mckay,1987,,,,x,,,"inactive chrX, sex-specific chromatin body, heterochromatinization",,,,,,,,x,,mammal comparison
Contemporary Genetics for Gender Researchers: Not Your Grandma's Genetics Anymore,salk,2012,review,,,,,,,,,,,,,,,x,
MAOA and male antisocial behavior: A review,eme,2013,review,MAOA-L,,,,,,,antisocial behavior,,,,,,,,sorry but this seems like a really silly article... i'm sure we could use genetics to predict for antisocial behavior but (i imagine) much goes into how social you are such as... how you were socialized when you were a child and other environmental factors
"Complex Segmental Duplications Mediate a Recurrent dup(X)(p11.22-p11.23) Associated with Mental Retardation, Speech Delay, and EEG Anomalies in Males and Females",giorda,2009,"analysis,study",Xp11.22-p11.23,,,,,"submicroscopic copy-number variations, de novo recurrent duplications, xci",,"idiopathic intellectual disability, speech delay, peculiar electroencephalographic",,,whole-genome oligonucleotide-based array comparative genomic hybridization,,,,,
Sex disparities matter in cancer development and therapy,haupt,2021,perspective,,,,x,,,,cancer,,,,sort of proposing or arguing for treatment considerations,,,,
Androgen receptor-deficient Tfm cells in the mosaic epididymis of sex-reverse mice heterozygous for Tfm: An autoradiographic stuy with 3H -dihydrotestosterone and 3H -estradiol,drews,1988,,some gene mutation,,,,,"mosaicism by random xci, Tfm mutation by sxr","androgen insensitivity of target cells, cells in the epididymus",testicular feminization,,,"thaw-mount autoradiography, mice",,,,,
Possible erasure of the imprint on a fragile X chromosome when transmitted by a male,laird,1991,"case studies, pedigree studies",,,,,,,,fragile x syndrome,,,interpretation within context of xci imprinting model of fraX syndrome,,,,,hypothesis proposal?
Sex and life expectancy,sandovici,2004,review,,,,x,,a bunch,,life expectancy,,,,,,,,
"Sexual Dimorphism and DOHaD through the Lens of Epigenetics: Genetic, Ancestral, Developmental, and Environmental Origins from Previous to the Next Generation(s)",junien,2016,,,,,,,,,,,,,,,,,
Hypomethylation of MAOA's first exon region in depression: A replication study,melas,2015,study,MAOA,,,x?,,,,depression,,hypomethylation,small-scale replication study,,,,,
A longitudinal study of X-inactivation ratio in human females,sandovici,2004,study,,,,,,xci skew,,,,,"longitudinal study, xci ratios of two sets of peripheral blood DNA samples",,,,,
Sexual dimorphism in biomedical research: A call to analyse by sex,flanagan,2014,,,,,,,,,,,,,,,,,
Do sex-specific immunobiological factors and differences in angiotensin converting enzyme 2 (ACE2) expression explain increased severity and mortality of COVID-19 in males?,vikse,2020,opinion,ACE2,,,x,,sex-specific immunobiological factors,,"COVID, SARS",,,,discussion of it,,,,
"Sex Differences in Systemic Lupus Erythematosus: Epidemiology, Clinical Considerations, and Disease Pathogenesis",nusbaum,2020,review,,,,x,,,,"lupus, SLE",,,,considerations,,x,,
Strong constraint on human genes escaping X-inactivation is modulated by their expression level and breadth in both sexes,slavney,2016,study,,,purifying selection,,,"x-linked gene expression through xci, exci",,,,,comparison of purifying selection and gene expression of human exci ,,,,,come back to this
Reversible histone methylation regulates brain gene expression and behavior,xu,2011,,"JARID1C, UTX",,,,,"epigenetic chromatin remodeling, aberrant chromatin modifications",,neuropsychatric disorders,,x,,,,,,
Transposon silencing and imprint establishment in mammalian germ cells,bestor,2004,,,,,,,,,,,,,,,,,
The sex ratios of monozygotic and dizygotic twins,james,2010,,,,,,,,,,,,,,,,,
Female mice with an XY sex chromosome complement develop severe Angiotensin II-induced abdominal aortic aneurysms,alsiraj,2017,experiment,low-density lipoprotein receptor (ldlr),aortic gene expression profiles?,,x,,XX vs XY,,abdominal aortic aneurysms,,,"lots of sciency things, dna microarrays",,,x,,mice
In praise of mealybugs,brahmachari,2018,,,,,,,,,,,,,,,,x?,mealybugs as a way to study genetics i think
Mouse models for evaluating sex chromosome effects that cause sex differences in non-gonadal tissues,arnold,2009,,,,,x,,XX vs XY,,,,,discussion of mice models?,,,,,
Detection of a novel unbalanced X;21 translocation in a girl with Turner syndrome phenotype,kouvidi,2021,case study,X;21,,,,,gene translocation leading to pseudodicentric X;21,,"turnder syndrome phenotype, ovarian development and function",,,"cytogenic analysis, HUMARA assay, methylation studies",,,,,
How flies make one equal two: Dosage compensation in Drosophila,gorman,1994,review,,,,,dosage compensation in drosophila,,,,,,,,,,,
The number of X chromosomes influences protection from cardiac ischaemia/reperfusion injury in mice: One X is better than two,li,2014,experiment,"Eif2s3x, KDM6A, KDM5C",,,x,,exci,,coronary heart disease,,,mouse models,,,,,
Gender-specific gene expression in post-mortem human brain: Localization to sex chromosomes,vawter,2004,study,"""Differentially expressed genes between males and females on the Y chromosome (DBY, SMCY, UTY, RPS4Y, and USP9Y) and X chromosome (XIST)""",,,x (gender),,"gene expression, cell types, regional expression",,"neuropsychiatric disorders, depression",,,Affymetrix oligonucleotide microarray platform,,,,,
Cell-autonomous sex determination outside of the gonad,arnold,2013,study,,,,x,,XX vs XY (cell-autonomous sex-biasing action),,,,,mice,,,x,,discussing sex determination in mammasl?
Imprinted X inactivation maintained by a mouse Polycomb group gene,wang,2001,study,gene eed (embryonic ectoderm development) a member of the mouse polycomb group of genes,,,,,xci,,,,,mice (marsupials?),,,,,
Directional X Chromosome Skewing of White Blood Cells from Subjects with Heterozygous Mosaicism for the Variant IRAK1 Haplotype,morcillo,2020,experiment,IRAK1,,,x,,"xci, cellular mosaicism; polymorphic differences",WBC,,,,propose method of study; to develop allel-specific assay and test its applicability in clincal sample to determine direction of X skew,,,,,
Improving translational research in sex-specific effects of comorbidities and risk factors in ischaemic heart disease and cardioprotection: position paper and recommendations of the ESC Working Group on Cellular Biology of the Hear,perrino,2021,review,,,,x,,cellular and molecular mechanisms,,ischemic heart disease,,,,,,,,
"X chromosome regulation: Diverse patterns in development, tissues and disease",deng,2014,review,,,,,,"exci, xci skewing, other chrX things that aren't specific",,,,,,,,,,between species?
Replicated effects of sex and genotype on gene expression in human lymphoblastoid cell lines,mcrae,2007,analysis,,x,,x,,"gene expression level, exci",lymphoblasted cell lines,,,,expression level analysis for 15887 transcripts for effects of genotypes and sex,,,,,
X chromosome inactivation in clinical practice,Ørstavik,2009,review,,,,,,"xci, mosaicism",,x-linked disorders,,,,,,,,
Female sex bias in human embryonic stem cell lines,ben-yosef,2012,study,,,,x,,derivation of HESCs; propose mechanism in which aberrant xci explains sexual dimorphism in cell line,human embryonic stem cells,,,,analyze the sex ratio of 42 preimplantation genetic diagnosis HESC lines; further meta-analysis,,,,,
GLA variation p.E66Q identified as the genetic etiology of Fabry disease using exome sequencing,peng,2016,"study, subsequent clinical review","α-galactosidase A gene GLA, vartiation p.E66Q",,,x,,"genetic mutation, preferential xci in females",,fabry disease,,,exome and sanger sequencing,,,,,
Regulation of X-chromosome inactivation in development in mice and humans,goto,1998,review,xist,,,,,xci and mechanisms behind it (in mice and humans),,,,,,,,,,
T cell CD40LG gene expression and the production of IgG by autologous B cells in systemic lupus erythematosus,zhou,2009,study,CD40LG (on X),,,,,overexpression and subsequent production of IgG by autologouse B cells,,lupus,,dna methylation,,,,x,,
Evaluation of clonality in myeloid stem-cell disorders,gale,1999,,,,,,,"clonality, xci (xci patterms), chromosomal translocations",,myeloid stem-cell disorders,,,discussion of different techniques for studying clonality i think,,,,,
Barring gene expression after XIST: Maintaining facultative heterochromatin on the inactive X,chadwick,2003,review,,,,,,xci; features of inactive x chromatin and mechanisms behind maintaining inactive x chromatin,,,,,,,,,,
It's not just sex,pirrotta,2010,,,,,x,dosage compensation and the many mechanisms behind it,,,,,,,,,,,
Sex Differences in Activity of G6pd in Cultured Fetal Lung Cells Despite X-Inactivation,steele,1972,,,,,,,,,,,,,,,,,"no abstract, no full text "
The general protected invasion theory: Sex biases in parental and alloparental care,reeve,1997,review,,,,,,"""protected invasion theory"" (mutation)",,"parental care, alloparental care",,,,,,,,
The female X-inactivation mosaic in systemic lupus erythematosus,stewart,1998,,,,,,,gender differneces,,lupus,,,,,,,,
Micromanipulating dosage compensation: Understanding X-chromosome inactivation through nuclear transplantation,eggan,2003,,,,,,,xci,,,uniparental embryos created by NT and etc,epigenetic alteration of x chromosomes during xci,nuclear transfer studies,,,,,
Escape Artists of the X Chromosome,balaton,2016,review,,,,,,xci,,,,,genomic methodologies and discussion of analyses methods,,,,,
Male life-course persistent antisocial behavior: A review of neurodevelopmental factors,eme,2009,review,,,,,,neurodevelopmental factors,,anti-social behavior,,,,,,,,
Gender differences in autoimmune disease,ngo,2014,review,,,,x,,possible mechanisms,,autoimmune disease,,,,,,,,
"MAOA genotype, family relations and sexual abuse in relation to adolescent alcohol consumption",nilsson,2011,study,MAOA gene-environment,,,x,,"MAOA u-VTNR variant, G*E interaction",,adolescent alchohol consumption,,,"survey study, saliva samples, failed MAOA u-variable number of tandem repeats genome anlyses",,,,,
XIST RNA and architecture of the inactive X chromosome implications for the repeat genome,hall,2010,review,xist rna,,,,,"xci, long-range chromosome regulation, repeat genome",,,,,,,,,,
Genetic and developmental analysis of X-inactivation in interspecific hybrid mice suggests a role for the Y chromosome in placental dysplasia,hemberger,2001,study,Pgk1,,,x,,,,"hyperplasia, hypoplasia",fetal sex on placental development,,,,,,,mice
Female hyper IgM syndrome type 1 with a chromosomal translocation disrupting CD40LG,imai,2006,study,CD40LG,,,x,,"chromosomal/reciprocal translocation, skewed XCI",,"hyper-IgM syndrome, HIGM1, type 1 HIGM1",,,"high-resolution chromosome banding, FISH analysis, four chimeric cDNA clones",,,,,
The Sex Bias in Systemic Sclerosis: on the Possible Mechanisms Underlying the Female Disease Preponderance,d'amico,2014,review,,,,x,,,,systemic sclerosis,,"""recent progress on epigenetic mechanisms""",,,,,,
Widespread sex dimorphism in aging and age-related diseases,sampathkumar,2020,review,,,,x,,,,aging,,,"""gonad to hormones to behavior"" model",,,,,"""state of knowledge in terms of sex dimorphism in aging"""
From fertilization to adult sexual behavior,diamond,1996,essay,,,maybe...,about sex? like sexual development,,,,,,,proposing model?,,,x,,
The human Y chromosome,goodfellow,1985,review,chrY,,,,,,,,,,,,,,,
Equine Embryo Sexing and Ultrasonographic Foetal Sexing - Interests and Applicability,crisan,2016,,,,,,,,,,,,,,,,x,horses
Cardiovascular Disease and Primary Ovarian Insufficiency,wellons,2011,,,,,,,xci,,"cardiovascular disease, primary ovarian insufficiency",,,,,,x,,
"The XIST locus replicates late on the active X, and earlier on the inactive X based on FISH DNA replication analysis of somatic cell hybrids",torchia,1995,study,"FRAXA, F8C and XIST (x-linked loci)",,,,,,,,,,DNA replication analysis using fluoresence in situ hybridiation,,,x,,follow-up?
The dynamics of X-inactivation skewing as women age,hatakeyama,2004,study,,,,x,,non-random xci,,aging,,,"evaluation of xci patterns, DNA samples, methylation-based assay at androgen receptor locus",,,,,
Insect sex chromosomes. VI. A presumptive hyperactivation of the male X chromosome in Acheta domesticus (L.),rao,1982,,,,,,,,,,,,,,,x,,crickets
Mapping structural differences of the corpus callosum in individuals with 18q deletions using targetless regional spatial normalization,kochunov,2005,study,chr18,,,,,deletion of portion of the long arm,,dysmyelination,,,"targetless spatial normalization, witterlson vertical partitioning",,,,,
Gender Dimorphism Creates Divergent Cancer Susceptibilities,cheng,2016,,,,,x,,,,cancer,,,,,,x,,
Sequential X-chromosome reactivation and inactivation in cell hybrids between murine embryonal carcinoma cells and female rat thymocytes,okuyama,1986,study,,,,,,chronology of chrX replication,"newly formed cell hybrids, HPRT-deficient OTF9-63 murine embryonal carcinoma cell",,,,"5-bromodeoxyuridine incorporation, acridine orange fluoresence sraining method, [3H]thymidine autoradiography",,,x,,
Mus musculus x Mus caroli hybrids: mouse mules,west,1978,study,,x-linked and autosomal genes,,,,,,,,,starch gel electrophoreisis of six enzymes,,,,x,mice mules
Influence of sex and genetic variability on expression of X-linked genes in human monocytes,castagne,2011,study,"EFHC2, ARSD, POLA1, ITM2A",x-linked genes,,x,,xci,circulating monocytes,,,,"analysis (through microarray studies?), cis eQTLs by analysis of 15k x-linked SNPs",,,,,
"Testosterone, androgen receptor gene CAG repeat length, mood and behaviour in adolescent males",vermeersch,2010,study,,,,x,,"androgen/testosterone activity, CAG repeat length",,"aggressive and non-agressive risk taking, dominance, depressive symptoms, self-esteem",,,"data from teenage boys, multivariate general linear modeling ",,,,,
