"","X","title","year","journal","authors","abstract","publication.type","genetics","genomic","evolution","dosage..test.","mechanism","issue","epigenetics","methods","Ancestry","unsure","Irrelevant","Notes"
"22",156,"TLR7 ligands induce higher IFN-α production in females",2006,"Journal of Immunology","Berghöfer, B. and Frommer, T. and Haley, G. and Fink, L. and Bein, G. and Hackstein, H.","IFN-α exercises multiple immune modulatory and antiviral activities and has been suggested to play a critical role in the pathogenesis of systemic lupus erythematosus (SLE). Plasmacytoid dendritic cells (pDCs) release IFN-α upon TLR7 and TLR9 ligation. With respect to the nine times higher incidence of SLE in women and the clinical use of synthetic TLR ligands as novel immune adjuvants, we analyzed IFN-α and TNF-α production in healthy human individuals. Blood samples were incubated with synthetic TLR7 and TLR9 ligands. In three independent groups (n1 = 120, n2 = 101, and n3 = 123), analysis revealed a capacity of female PBLs to produce significantly higher IFN-α levels after TLR7 stimulation (p1, < 0.0000001, p2 < 0.0000001, and p3 < 0.0001) compared with male PBLs. In contrast, no sex differences were evident after TLR9 stimulation. TNF-α production after TLR7 stimulation and also total pDC numbers were not different between females and males. X-inactivation escape of the TLR7 gene was investigated in monoclonal B cell lines and, independently, in pDCs after cell sorting and single-cell picking, indicating regular silencing of one TLR7 allele in females. Additionally, exogenous 17β-estrogen and estrogen receptor antagonism did not indicate a significant role on TLR7-induced IFN-α production. Our data reveal for the first time a profound sex-dependent pathway of TLR7-induced IFN-α with higher production in females. These findings may explain the higher prevalence of SLE in females and the reported decreased therapeutic efficacy of synthetic TLR7 ligands in male individuals. Copyright © 2006 by The American Association of Immunologists, Inc.","experiment","TLR7, TLR9","","","","IFN production","systemic lupus erythematosus (sle), autoimmune","","","","","","Our data reveal for the first time a profound sex-dependent pathway of TLR7-induced IFN-α with higher production in females."
"23",158,"Single Nucleotide Polymorphisms at the PRR3, ABCF1, and GNL1 Genes in the HLA Class I Region Are Associated with Graves' Ophthalmopathy in a Gender-Dependent Manner",2014,"Ophthalmology","Liu, Y. H. and Chen, Y. J. and Wu, H. H. and Wang, T. Y. and Tsai, F. J.","Objective: To investigate whether a conserved HLA class I region influenced the development of Graves' ophthalmopathy (GO) in patients with Graves' disease (GD) in a Taiwan-Chinese population. Design: Case-control study. Participants: Four hundred sixty-eight Taiwan-Chinese patients with GD; 200 of these patients had GO, whereas 268 patients did not. Methods: Five single nucleotide polymorphisms (SNPs) between the HLA-A and HLA-C loci were genotyped. Main Outcome Measures: The Mann-Whitney U test and chi-square test with Bonferroni correction were used. The odds ratios (ORs) were estimated by applying unconditional logistic regression with a 95% confidence intervals (CIs). Results: Strong gender effects on the distribution of the SNPs were apparent: male GD patients carrying an A allele at rs2074503 in the PRR3 gene tended to avoid demonstrating GO (P = 0.008; OR, 0.450; 95% CI, 0.248-0.819), whereas female patients tended to show GO (P = 0.01; OR, 1.486; 95% CI, 1.098-2.012). In addition, only the female GD patients with a T allele at rs1264439 in the ABCF-1 gene tended to demonstrate GO (P = 0.005; OR, 1.539; 95% CI, 1.139-2.081). Analysis of the haplotype blocks of the SNPs rs2074505 (GNL1) and rs2074503 (PRR3) showed that haplotype HA1 was underrepresented in male GO patients (P = 0.004; OR, 0.418; 95% CI, 0.228-0.767), whereas HA-4 was underrepresented in female GO patients (P = 0.007; OR, 0.660; 95% CI, 0.490-0.895). Conclusions: The results suggested that SNPs at PRR3 and ABCF1 genes and the haplotype composed by SNPs at GNL1 and PRR3 between the HLA-A and HLA-C genes tended to predict GO in a gender-dependent manner in patients with GD in Taiwan. (C) 2014 by the American Academy of Ophthalmology.","experiment","PRR3, ABCF1, GNL1, HLA class I region","","","","","graves' ophthalmopathy, graves' disease","","SNP","Taiwan-Chinese","x","",""
"24",177,"Does XIST safeguard against sex-biased human diseases?",2021,"Molecular Cell","Sado, T.","Yu et al. (2021) demonstrate that a subset of X-linked immune genes is repressed on the inactive X chromosome (Xi) in a manner dependent on XIST RNA in B cells, and derepression of these genes upon XIST depletion could bias differentiation of naive B cells and be involved in etiology of female-biased autoimmune diseases.","experiment","Xist","","","","XCI","autoimmune","","","","","",""
"25",186,"Inherent X-Linked Genetic Variability and Cellular Mosaicism Unique to Females Contribute to Sex-Related Differences in the Innate Immune Response",2017,"Front Immunol","Spolarics, Z. and Peña, G. and Qin, Y. and Donnelly, R. J. and Livingston, D. H.","Females have a longer lifespan and better general health than males. Considerable number of studies also demonstrated that, after trauma and sepsis, females present better outcomes as compared to males indicating sex-related differences in the innate immune response. The current notion is that differences in the immuno-modulatory effects of sex hormones are the underlying causative mechanism. However, the field remains controversial and the exclusive role of sex hormones has been challenged. Here, we propose that polymorphic X-linked immune competent genes, which are abundant in the population are important players in sex-based immuno-modulation and play a key role in causing sex-related outcome differences following trauma or sepsis. We describe the differences in X chromosome (ChrX) regulation between males and females and its consequences in the context of common X-linked polymorphisms at the individual as well as population level. We also discuss the potential pathophysiological and immune-modulatory aspects of ChrX cellular mosaicism, which is unique to females and how this may contribute to sex-biased immune-modulation. The potential confounding effects of ChrX skewing of cell progenitors at the bone marrow is also presented together with aspects of acute trauma-induced de novo ChrX skewing at the periphery. In support of the hypothesis, novel observations indicating ChrX skewing in a female trauma cohort as well as case studies depicting the temporal relationship between trauma-induced cellular skewing and the clinical course are also described. Finally, we list and discuss a selected set of polymorphic X-linked genes, which are frequent in the population and have key regulatory or metabolic functions in the innate immune response and, therefore, are primary candidates for mediating sex-biased immune responses. We conclude that sex-related differences in a variety of disease processes including the innate inflammatory response to injury and infection may be related to the abundance of X-linked polymorphic immune-competent genes, differences in ChrX regulation, and inheritance patterns between the sexes and the presence of X-linked cellular mosaicism, which is unique to females.","experiment","Xist","","","","X chromosome mosaicism","autoimmune ","","","","","","relevant. could give genes of interest for autimmune disease"
"26",192,"X chromosome inactivation in females with multiple sclerosis",2007,"Eur J Neurol","Knudsen, G. P. and Harbo, H. F. and Smestad, C. and Celius, E. G. and Akesson, E. and Oturai, A. and Ryder, L. P. and Spurkland, A. and Ørstavik, K. H.","The aetiology of multiple sclerosis (MS) is unknown. Autoimmune mechanisms are most probably involved. Loss of immunological tolerance to self-antigens is a common feature of autoimmune disorders. Response to X-linked self-antigens could be influenced by X-chromosome inactivation, and contribute to the gender bias observed in autoimmune disorders. Previous studies have indicated an association between skewed X inactivation and autoimmune thyroid disease and scleroderma. To investigate a potential role of X inactivation in MS, we compared the X-inactivation pattern in 568 female MS patients with controls. We found no difference in degree of skewing between patients (median 64%) and controls (median 65%) (P = 0.474). The X-inactivation pattern did thus not explain the female predominance of MS patients in general. As the aetiology of different subgroups of MS may differ, patients were grouped according to disease course: relapsing-remitting (RR-MS), secondary progressive (SP-MS) and primary progressive (PP-MS). A comparison of the X-inactivation pattern between subgroups indicated a possible difference in degree of skewing between patients with a progressive versus a relapsing course (P = 0.05).","experiment","","","","","XCI","multiple sclerosis (ms), autoimmune","","","","","x",""
"27",300,"Nonendocrine mechanisms of sex bias in rheumatic diseases",2019,"Nature Reviews Rheumatology","Lambert, N. C.","Rheumatic diseases affect a wide range of individuals of all ages, but the most common diseases occur more frequently in women than in men, at ratios of up to ten women to one man. Despite a growing number of studies on sex bias in rheumatic diseases, sex-specific health care is¬†limited and sex specificity is not systematically integrated into treatment regimens. Women and men differ in three major biological points: the number of X chromosomes per cell, the type and quantities of sex hormones present and the ability to be pregnant, all of which have immunological consequences. Could a greater understanding of these differences lead to a new era of personalized sex-specific medicine? This Review focuses on the main genetic and epigenetic mechanisms that have been put forward to explain sex bias in rheumatic diseases, including X chromosome inactivation, sex chromosome aneuploidy and microchimerism. The influence of sex hormones is not discussed in detail in this Review, as it has been well described elsewhere. Understanding the sex-specific factors that contribute to the initiation and progression of rheumatic diseases will enable progress to be made in the diagnosis, treatment and management of all patients with these conditions.","Review","","x","","","XCI, microchimerism","rheumatic","","","","","",""
"28",305,"Sex ratio and rheumatic disease: Excerpts from an institute of medicine report",2002,"Lupus","Lockshin, M. D.","Some autoimmune diseases have high female/male (F/M) ratios. Definitions and classifications of autoimmune diseases differ, as do the F/M ratios themselves. The sex ratio of lupus is the single most prominent, little explored clinical fact that may lead to understanding of how lupus and other autoimmune diseases occur. The objective of this study was to evaluate evidence for causes of high F/M ratios of autoimmune and non-immunologic diseases. This was done by a literature review. Some thyroid, rheumatic and hepatic diseases consistently have high F/M ratios; other autoimmune diseases have low ratios. Because F/M ratios reflect disease incidence, not disease severity, an intrinsic biologic cause for the F/M ratios (such as estrogen) would be likely to act through a threshold or permissive mechanism rather than through quantitative immunomodulation. Sex differences related to environmental exposure, X-inactivation, imprinting, X or Y chromosome genes and intrauterine influences are other possible explanations for sex differences of incidence. The epidemiology of the sex discrepant autoimmune diseases, young, female, suggests that an explanation for sex discrepancy lies in differential exposure, vulnerable periods or thresholds, rather than in quantitative aspects of immunomodulation.","review","","","","","hormones, estrogen, environmental exposure","lupus, autoimmune","","","","","","The epidemiology of the sex discrepant autoimmune diseases, young, female, suggests that an explanation for sex discrepancy lies in differential exposure, vulnerable periods or thresholds, rather than in quantitative aspects of immunomodulation."
"29",314,"Sex Differences in Autoimmune Disease",2006,"Orthopedic Clinics of North America","Lockshin, M. D.","Many, but not all, autoimmune diseases primarily affect women. Female/male ratios range from 10:1 to 1:3. In humans, severity of illness does not differ between men and women. Men and women respond similarly to infection and vaccination, which suggests that the intrinsic differences in immune response between the sexes do not account for differences in disease frequency. In autoimmune-like illnesses caused by recognized environmental agents, sex discrepancy is usually explained by differences in exposure. Because the beginnings of autoimmune diseases can be identified decades before clinical illness, a causative factor also would have to be sought decades before illness. Endogenous hormones are not a likely explanation for sex discrepancy; hormones could have an effect if the effect is a threshold rather than quantitative. X and Y chromosomal differences have not been studied in depth. Other possibilities to explain sex discrepancy include chronobiologic differences and various other biologies, such as pregnancy and menstruation, in which men differ from women. ¬© 2006 Elsevier Inc. All rights reserved.","review","","","","","","autoimmune","","","","","","notes for exposer"
"30",316,"Is autoimmunity a matter of sex?",2008,"Autoimmunity Reviews","Lleo, A. and Battezzati, P. M. and Selmi, C. and Gershwin, M. E. and Podda, M.","Autoimmune diseases include several conditions that cumulatively are estimated to affect over 5% of the US population with a striking female predominance reported for most of them. The cause and mechanisms of this sex bias remains unknown despite multiple proposed hypotheses. Indeed, it is well established in several experimental settings that the human immune system exhibits sexual dimorphism with basic immune responses differing between females and males. Among candidate factors to explain these differences we note that particular attention has been primarily devoted to sex hormones, yet data have been inconclusive or have not been confirmed. The same seems to apply to the hypothesis of fetal microchimerism. Most recently, sex chromosome abnormalities and skewed X chromosome inactivation have been suggested as novel players, particularly in later-onset diseases. We review herein the most recent data on the mechanisms proposed for the female predominance. We also attempt to determine whether observed sex ratios are in fact the result of sex-biased awareness in case-finding studies. ¬© 2008 Elsevier B.V. All rights reserved.","review","","","","","","autoimmune","","","","","",""
"31",326,"The X-files of inflammation: Cellular mosaicism of X-linked polymorphic genes and the female advantage in the host response to injury and infection",2007,"Shock","Spolarics, Z.","Females as compared with males display better general health status, longevity, and improved clinical course after injury and infection. It is generally believed that the female advantage is associated with the effects of sex hormones. This review argues that the sex benefit of females during the host response is associated with polymorphism of X-linked genes and cellular mosaicism for X-linked parental alleles. Cells from females carry both parental X chromosomes (maternal, Xm; or paternal, Xp), whereas males carry only one (Xm). Because of dosage compensation and random X inactivation, half of the cells from females express either Xm or Xp. Therefore, females are cellular mosaics for their X-linked polymorphic genes. This cellular mosaicism in females represents a more adaptive and balanced cellular machinery that is advantageous during the innate immune response. Several genes encoding key metabolic and regulatory proteins reside on the X chromosome, including members of the apoptotic cascade, hormone homeostasis, glucose metabolic enzymes, superoxide-producing machinery, and the toll-like receptor/nuclear factor Œ∫B/c-Jun N-terminal kinase signaling pathway. Polymorphic forms of these X-linked proteins are likely to manifest in phenotypic differences in the mosaic cell populations in females and may contribute to sex-related differences in the host response to injury and infection. The unique inheritance pattern of X-linked polymorphisms and their potential confounding effects in clinical trials are also discussed; furthermore, we present potential biomarkers for studying mosaic cell populations of innate immunity. ¬©2007The Shock Society.","review","Xist ","mosaicism","","","mosaicism","autoimmune","","","","","",""
"32",333,"Are pediatric autoimmune diseases primarily genetic diseases?",2008,"Current Opinion in Rheumatology","Shaw, E. A. and Stevens, A. M.","Purpose of review Powerful new methods are allowing identification of genetic risk factors in large populations of adults with autoimmune diseases. In this review, we describe the advantages and limitations of genetic methodologies, and how these methods have been used to discover candidate genes in smaller populations of pediatric patients. We also introduce novel concepts for nontraditional modes of genetic inheritance that may be important in the pathogenesis of autoimmunity. Recent findings Candidate genes identified by linkage analyses and genome-wide association scans in adult populations have led to focused genetic studies in pediatric populations. Some genes are associated with subsets of both adult and pediatric patients; others appear to be age specific. Novel concepts in genetics have uncovered potential contributions of maternal compared with paternal transmission, noninherited maternal alleles that may work through maternal microchimerism, and sex-specific epigenetic mechanisms of immunoregulation. Summary Advancing methods are leading to the discovery of genes associated with childhood autoimmune diseases. However, the genetic contribution to disease risk for any one gene remains less than 30% for most diseases, suggesting that pediatric autoimmunity is not primarily genetic in a classical sense. A combinatorial approach considering the contributions of multiple genes, mode of inheritance, and environmental influences will be required to fully understand the mechanisms of pathogenesis in pediatric autoimmune disease.","review","","","","","genetic methodologies","autoimmune","","genetic methodologies","age","","",""
"33",336,"Lysosomal pH Is Regulated in a Sex Dependent Manner in Immune Cells Expressing CXorf21",2019,"Front Immunol","Harris, V. M. and Harley, I. T. W. and Kurien, B. T. and Koelsch, K. A. and Scofield, R. H.","Background:CXorf21 and SLC15a4 both contain risk alleles for systemic lupus erythematosus (SLE) and Sj√∂gren's syndrome (pSS). The former escapes X inactivation. Our group predicts specific endolysosomal-dependent immune responses are driven by the protein products of these genes, which form a complex at the endolysosomal surface. Our previous studies have shown that knocking out CXorf21 increases lysosomal pH in female monocytes, and the present study assesses whether the lysosomal pH in 46,XX women, who overexpress CXorf21 in monocytes, B cells, and dendritic cells (DCs), differs from 46,XY men. Methods: To determine endolysosome compartment pH we used both LysoSensor‚Ñ¢ Yellow/Blue DND-160 and pHrodo¬Æ Red AM Intracellular pH Indicator in primary monocyte, B cells, DCs, NK cells, and T cells from healthy men and women volunteers. Results: Compared to male samples, female monocytes, B cells, and DCs had lower endolysosomal pH (female/male pH value: monocytes 4.9/5.6 p < 0.0001; DCs 4.9/5.7 p = 0.044; B cells 5.0/5.6 p < 0.05). Interestingly, T cells and NK cells, which both express low levels of CXorf21, showed no differential pH levels between men and women. Conclusion: We have previously shown that subjects with two or more X-chromosomes have increased CXorf21 expression in specific primary immune cells. Moreover, knockdown of CXorf21 increases lysosomal pH in female monocytes. The present data show that female monocytes, DC, B cells, where CXorf21 is robustly expressed, have lower lysosomal pH compared to the same immune cell populations from males. The lower pH levels observed in specific female immune cells provide a function to these SLE/SS-associated genes and a mechanism for the reported inflated endolysosomal-dependent immune response observed in women compared to men (i.e., TLR7/type I Interferon activity).","experiment","CXorf21, SLC15a4","","","","lysosomal pH","systemic lupus erythematosus","","monocyte, B cells, DCs, NK cells, and T cells from healthy men and women","","","",""
"34",345,"The effect of sex on multiple sclerosis risk and disease progression",2020,"Multiple Sclerosis Journal","Voskuhl, R. R.","Sex differences in the incidence or severity of disease characterize many autoimmune and neurodegenerative diseases. Multiple sclerosis is a complex disease with both autoimmune and neurodegenerative aspects and is characterized by sex differences in susceptibility and progression. Research in the study sex differences is a way to capitalize on a known clinical observation, mechanistically disentangle it at the laboratory bench, then translate basic research findings back to the clinic as a novel treatment trial tailored to optimally benefit each sex. This ‚ÄúBedside to Bench to Bedside‚Äù approach based on sex differences in MS will be reviewed here, first for disease susceptibility then for disability progression.","review","","","","","","autoimmune, neurodegenerative, multiple sclerosis","","genetic methodologies","","","",""
"35",359,"Sex ratio and rheumatic disease",2001,"Israel Medical Association Journal","Lockshin, M. D.","Autoimmune diseases are said to have high female/male (F/M) ratios, but these ratios are imprecise. Published definitions and classifications of autoimmune diseases differ substantially, as do the F/M ratios themselves. Imputed causality of autoimmune diseases requires better precision. Some thyroid, rheumatic and hepatic diseases consistently have high F/M ratios, but marked differences exist in the reported quantity of the ratios. Other autoimmune diseases have low F/M ratios. Because F/M ratios reflect incidence and not severity of disease, gonadal hormones, if they play a role, must do so through a threshold or permissive mechanism. Sex differences related to environmental exposure, X-inactivation, imprinting, X or Y chromosome genetic modulators, and intrauterine influences remain as alternate, theoretical, explanations for sex differences of incidence. The epidemiology of the sex-discrepant autoimmune diseases - young, female - suggests that an explanation for sex discrepancy lies in differential exposure, vulnerable periods, or thresholds, rather than in quantitative aspects of immunomodulation.","review","","x","","","","autoimmune","","","","","",""
"36",369,"The Pregnancy Pickle: Evolved Immune Compensation Due to Pregnancy Underlies Sex Differences in Human Diseases",2019,"Trends Genet","Natri, H. and Garcia, A. R. and Buetow, K. H. and Trumble, B. C. and Wilson, M. A.","We hypothesize that, ancestrally, sex-specific immune modulation evolved to facilitate survival of the pregnant person in the presence of an invasive placenta and an immunologically challenging pregnancy - an idea we term the 'pregnancy compensation hypothesis' (PCH). Further, we propose that sex differences in immune function are mediated, at least in part, by the evolution of gene content and dosage on the sex chromosomes, and are regulated by reproductive hormones. Finally, we propose that changes in reproductive ecology in industrialized environments exacerbate these evolved sex differences, resulting in the increasing risk of autoimmune disease observed in females, and a counteracting reduction in diseases such as cancer that can be combated by heightened immune surveillance. The PCH generates a series of expectations that can be tested empirically and that may help to identify the mechanisms underlying sex differences in modern human diseases.","","","x","x","","immune system","autoimmune","","","","","","pregnancy compensation hypothesis' (PCH)"
